activity_description,label,duration_minutes,user_id
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,43,37
Listening to an audiobook on a relevant topic,Wasting Time,72,44
Reading a scientific research paper,Wasting Time,53,99
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,38,66
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,96,19
Scrolling through social media feeds,Utilizing Time for Knowledge Development,31,26
Solving programming exercises,Utilizing Time for Knowledge Development,60,41
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,49,96
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,109,78
Watching Khan Academy math tutorial,Wasting Time,57,27
Reading a scientific research paper,Wasting Time,11,46
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,30,99
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,8,47
Online shopping,Wasting Time,71,18
Browsing Wikipedia for history facts,Wasting Time,97,21
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,82,70
Participating in an online quiz,Wasting Time,45,77
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,92,38
Playing a video game,Wasting Time,109,67
Playing online crossword puzzles,Utilizing Time for Knowledge Development,9,90
Watching TV shows,Utilizing Time for Knowledge Development,29,52
Taking notes from a lecture video,Utilizing Time for Knowledge Development,8,92
Reading a scientific research paper,Wasting Time,49,48
Watching TV shows,Utilizing Time for Knowledge Development,90,42
Reviewing course lecture slides,Utilizing Time for Knowledge Development,41,62
Online shopping,Utilizing Time for Knowledge Development,38,66
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,59,52
Reviewing course lecture slides,Utilizing Time for Knowledge Development,15,89
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,87,73
Playing a video game,Utilizing Time for Knowledge Development,86,22
Checking email,Wasting Time,24,1
Playing a video game,Utilizing Time for Knowledge Development,29,26
Browsing Wikipedia for history facts,Wasting Time,26,42
Playing online crossword puzzles,Utilizing Time for Knowledge Development,54,64
Reviewing course lecture slides,Utilizing Time for Knowledge Development,10,13
Scrolling through social media feeds,Utilizing Time for Knowledge Development,89,28
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,34,81
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,68,94
Scrolling through social media feeds,Utilizing Time for Knowledge Development,83,29
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,68,43
Online shopping,Wasting Time,113,28
Playing a video game,Utilizing Time for Knowledge Development,85,97
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,72,17
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,14,16
Playing online crossword puzzles,Utilizing Time for Knowledge Development,84,72
Coding a personal project,Wasting Time,27,25
Reviewing course lecture slides,Wasting Time,97,32
Watching TV shows,Wasting Time,56,13
Watching TV shows,Utilizing Time for Knowledge Development,71,51
Browsing Wikipedia for history facts,Wasting Time,41,90
Coding a personal project,Wasting Time,54,40
Coding a personal project,Utilizing Time for Knowledge Development,5,72
Scrolling through social media feeds,Wasting Time,106,81
Playing online crossword puzzles,Wasting Time,95,78
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,21,23
Playing a video game,Utilizing Time for Knowledge Development,112,35
Checking email,Utilizing Time for Knowledge Development,6,75
Chatting with friends on messaging apps,Wasting Time,17,89
Online shopping,Utilizing Time for Knowledge Development,74,23
Coding a personal project,Utilizing Time for Knowledge Development,22,50
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,38,82
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,35,71
Taking notes from a lecture video,Utilizing Time for Knowledge Development,111,41
Participating in an online quiz,Utilizing Time for Knowledge Development,80,58
Checking email,Utilizing Time for Knowledge Development,48,42
Checking email,Utilizing Time for Knowledge Development,78,100
Participating in an online quiz,Wasting Time,63,6
Scrolling through social media feeds,Utilizing Time for Knowledge Development,38,88
Reviewing course lecture slides,Utilizing Time for Knowledge Development,24,56
Checking email,Utilizing Time for Knowledge Development,100,22
Reviewing course lecture slides,Utilizing Time for Knowledge Development,82,7
Checking email,Wasting Time,77,32
Checking email,Utilizing Time for Knowledge Development,9,35
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,37,67
Chatting with friends on messaging apps,Wasting Time,75,43
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,113,98
Coding a personal project,Wasting Time,14,57
Watching TV shows,Utilizing Time for Knowledge Development,66,97
Participating in a group discussion on the course forum,Wasting Time,115,91
Watching TV shows,Utilizing Time for Knowledge Development,50,16
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,66,6
Coding a personal project,Utilizing Time for Knowledge Development,74,77
Participating in an online quiz,Wasting Time,74,37
Online shopping,Utilizing Time for Knowledge Development,48,89
Playing online crossword puzzles,Utilizing Time for Knowledge Development,12,65
Watching cat videos on YouTube,Wasting Time,89,25
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,90,63
Solving programming exercises,Utilizing Time for Knowledge Development,114,12
Participating in an online quiz,Utilizing Time for Knowledge Development,63,4
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,83,25
Scrolling through social media feeds,Utilizing Time for Knowledge Development,24,91
Writing an essay for a class assignment,Wasting Time,64,1
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,11,55
Scrolling through social media feeds,Wasting Time,39,63
Reading a scientific research paper,Utilizing Time for Knowledge Development,20,17
Reading a scientific research paper,Utilizing Time for Knowledge Development,42,82
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,19,58
Reviewing course lecture slides,Utilizing Time for Knowledge Development,20,21
Browsing Wikipedia for history facts,Wasting Time,84,53
Reviewing course lecture slides,Wasting Time,103,70
Playing online crossword puzzles,Utilizing Time for Knowledge Development,87,12
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,63,11
Coding a personal project,Wasting Time,83,99
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,50,79
Watching TV shows,Utilizing Time for Knowledge Development,24,34
Reading a scientific research paper,Utilizing Time for Knowledge Development,106,9
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,115,73
Writing an essay for a class assignment,Wasting Time,39,46
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,113,47
Checking email,Utilizing Time for Knowledge Development,34,85
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,112,78
Writing an essay for a class assignment,Wasting Time,97,17
Participating in a group discussion on the course forum,Wasting Time,92,42
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,62,76
Playing online crossword puzzles,Wasting Time,120,78
Playing online crossword puzzles,Utilizing Time for Knowledge Development,36,12
Reviewing course lecture slides,Utilizing Time for Knowledge Development,99,57
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,42,23
Reading a scientific research paper,Utilizing Time for Knowledge Development,42,22
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,42,41
Online shopping,Wasting Time,37,10
Coding a personal project,Utilizing Time for Knowledge Development,87,70
Watching Khan Academy math tutorial,Wasting Time,108,64
Playing online crossword puzzles,Wasting Time,76,19
Participating in an online quiz,Utilizing Time for Knowledge Development,67,35
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,22,12
Watching cat videos on YouTube,Wasting Time,104,61
Coding a personal project,Utilizing Time for Knowledge Development,11,86
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,10,80
Participating in an online quiz,Wasting Time,55,70
Reading a scientific research paper,Utilizing Time for Knowledge Development,44,42
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,63,4
Scrolling through social media feeds,Utilizing Time for Knowledge Development,51,40
Playing a video game,Wasting Time,20,46
Reading a scientific research paper,Wasting Time,90,65
Participating in an online quiz,Utilizing Time for Knowledge Development,15,4
Reviewing course lecture slides,Utilizing Time for Knowledge Development,106,30
Playing online crossword puzzles,Wasting Time,69,53
Listening to an audiobook on a relevant topic,Wasting Time,61,24
Playing online crossword puzzles,Utilizing Time for Knowledge Development,18,78
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,16,7
